experiment,protocol,overall_auc,cold_auc,warm_auc,overall_hr@10,overall_hr@50,overall_hr@100,overall_hr@200,cold_hr@10,cold_hr@50,cold_hr@100,cold_hr@200,warm_hr@10,warm_hr@50,warm_hr@100,warm_hr@200,overall_ndcg@10,overall_ndcg@50,overall_ndcg@100,overall_ndcg@200,cold_ndcg@10,cold_ndcg@50,cold_ndcg@100,cold_ndcg@200,warm_ndcg@10,warm_ndcg@50,warm_ndcg@100,warm_ndcg@200,overall_mrr_corrected,cold_mrr_corrected,warm_mrr_corrected,best_epoch,training_time_seconds,peak_gpu_memory_mib,negative_pool_size,audit_passed,metrics_csv,best_checkpoint,audit_json
hstu_baseline_cold_warm_neg,warm-negative-only,0.8980169892311096,0.4395831525325775,0.9434848427772522,0.25711920857429504,0.5172185301780701,0.6099337935447693,0.6980132460594177,0.0,0.0036697247996926308,0.014678899198770523,0.029357798397541046,0.28262054920196533,0.5681528449058533,0.6689717769622803,0.7643312215805054,0.14107206463813782,0.19856572151184082,0.2136419415473938,0.22597777843475342,0.0,0.0006556587759405375,0.002371317707002163,0.004403878003358841,0.15506373345851898,0.2181946486234665,0.23459598422050476,0.24795369803905487,0.12002851814031601,0.00030903733568266034,0.13190242648124695,44,261,13945,3512,True,/root/autodl-tmp/semantic-id-rec-repro/repo/reproduction/warm_negative_ablation/hstu_baseline_cold_warm_neg/run/csv/version_0/metrics.csv,/root/autodl-tmp/semantic-id-rec-repro/repo/reproduction/warm_negative_ablation/hstu_baseline_cold_warm_neg/run/checkpoints/epoch_044.ckpt,/root/autodl-tmp/semantic-id-rec-repro/repo/reproduction/warm_negative_ablation/hstu_baseline_cold_warm_neg/run/cold_negative_sampling_audit.json
hstu_dense_cold_warm_neg,warm-negative-only,0.8525120615959167,0.5947155952453613,0.8780805468559265,0.1824503391981125,0.37251657247543335,0.45231789350509644,0.5412251949310303,0.011009174399077892,0.02568807452917099,0.0458715595304966,0.06972476840019226,0.19945403933525085,0.4069153666496277,0.49262964725494385,0.587989091873169,0.09908390045166016,0.14095069468021393,0.15388572216033936,0.16631671786308289,0.006354580167680979,0.009445113129913807,0.012700173072516918,0.01601540856063366,0.10828087478876114,0.15399356186389923,0.16788865625858307,0.1812237650156021,0.08459731191396713,0.0060103642754256725,0.09239163994789124,104,561,19697,3512,True,/root/autodl-tmp/semantic-id-rec-repro/repo/reproduction/warm_negative_ablation/hstu_dense_cold_warm_neg/run/csv/version_0/metrics.csv,/root/autodl-tmp/semantic-id-rec-repro/repo/reproduction/warm_negative_ablation/hstu_dense_cold_warm_neg/run/checkpoints/epoch_104.ckpt,/root/autodl-tmp/semantic-id-rec-repro/repo/reproduction/warm_negative_ablation/hstu_dense_cold_warm_neg/run/cold_negative_sampling_audit.json
rqvae_hstu_route_a_warm_neg,warm-negative-only,0.8614442348480225,0.6743472218513489,0.880000650882721,0.15612582862377167,0.3453642427921295,0.45513245463371277,0.5597681999206543,0.03669724613428116,0.11926605552434921,0.18532110750675201,0.25871559977531433,0.16797088086605072,0.3677888810634613,0.4818926155567169,0.5896269083023071,0.0835203304886818,0.1247253343462944,0.14251595735549927,0.15714772045612335,0.01997292973101139,0.03746099770069122,0.04794445261359215,0.058236557990312576,0.08982302993535995,0.13338029384613037,0.1518956571817398,0.166957825422287,0.07237040251493454,0.019835805520415306,0.07758083939552307,139,684,14559,3512,True,/root/autodl-tmp/semantic-id-rec-repro/repo/reproduction/warm_negative_ablation/rqvae_hstu_route_a_warm_neg/run/csv/version_0/metrics.csv,/root/autodl-tmp/semantic-id-rec-repro/repo/reproduction/warm_negative_ablation/rqvae_hstu_route_a_warm_neg/run/checkpoints/epoch_139.ckpt,/root/autodl-tmp/semantic-id-rec-repro/repo/reproduction/warm_negative_ablation/rqvae_hstu_route_a_warm_neg/run/cold_negative_sampling_audit.json
