2026/08/05 14:50:12.476, 0, 0, 24564, 22.28, 30
2026/08/05 14:50:22.483, 0, 0, 24564, 22.18, 30
2026/08/05 14:50:32.483, 0, 3, 24564, 21.86, 30
2026/08/05 14:50:42.484, 0, 7089, 24564, 100.74, 36
2026/08/05 14:50:52.485, 0, 9323, 24564, 102.49, 39
2026/08/05 14:51:02.485, 26, 9323, 24564, 133.17, 40
2026/08/05 14:51:12.485, 22, 9325, 24564, 110.77, 41
2026/08/05 14:51:22.486, 12, 9325, 24564, 100.58, 38
2026/08/05 14:51:32.486, 0, 9325, 24564, 101.36, 39
2026/08/05 14:51:42.486, 21, 11617, 24564, 137.04, 43
2026/08/05 14:51:52.487, 0, 11617, 24564, 86.69, 40
2026/08/05 14:52:02.487, 84, 11617, 24564, 206.28, 43
2026/08/05 14:52:12.488, 0, 11617, 24564, 88.74, 39
2026/08/05 14:52:22.489, 0, 11617, 24564, 97.47, 40
2026/08/05 14:52:32.490, 65, 11617, 24564, 161.09, 44
2026/08/05 14:52:42.491, 86, 11617, 24564, 206.35, 44
2026/08/05 14:52:52.491, 86, 11617, 24564, 193.34, 42
2026/08/05 14:53:02.492, 87, 11617, 24564, 175.62, 41
2026/08/05 14:53:12.493, 87, 11617, 24564, 192.91, 42
2026/08/05 14:53:22.494, 87, 11617, 24564, 206.11, 45
2026/08/05 14:53:32.494, 87, 11617, 24564, 193.21, 44
2026/08/05 14:53:42.495, 87, 11617, 24564, 168.16, 41
2026/08/05 14:53:52.496, 84, 11617, 24564, 148.95, 41
2026/08/05 14:54:02.497, 0, 11617, 24564, 112.26, 43
2026/08/05 14:54:12.498, 0, 11617, 24564, 127.10, 41
2026/08/05 14:54:22.499, 0, 13945, 24564, 113.79, 41
