auc,candidate_count_max,candidate_count_mean,candidate_count_min,candidate_residual_scale,experiment,group,history_residual_scale,hr@10,hr@100,hr@200,hr@50,mrr_corrected,ndcg@10,ndcg@100,ndcg@200,ndcg@50,sample_count
0.9219775331394735,3864.0,3774.29701986755,3683.0,1.0,A2_H1_C1,overall,1.0,0.22466887417218542,0.588907284768212,0.6907284768211921,0.4812913907284768,0.1063902194091376,0.12292491866585392,0.1972244689460764,0.2114598394583849,0.1797395901466586,6040
0.8677964718243397,3864.0,3771.0183486238534,3683.0,1.0,A2_H1_C1,cold,1.0,0.05688073394495413,0.23669724770642203,0.4018348623853211,0.1688073394495413,0.027261208952966,0.028621097274304137,0.06382616903275017,0.0867186010806338,0.052748273314311214,545
0.9273512689750963,3864.0,3774.62220200182,3683.0,1.0,A2_H1_C1,warm,1.0,0.24131028207461327,0.6238398544131029,0.7193812556869882,0.5122838944494995,0.1142383196272656,0.13227807292579835,0.21045505556168378,0.2238318094157783,0.19233472530109547,5495
0.8086052732837435,3864.0,3774.29701986755,3683.0,0.0,A2_H1_C0,overall,1.0,0.06158940397350993,0.27433774834437086,0.3882450331125828,0.18460264900662252,0.03329477824674503,0.03426897898540888,0.07497884563066012,0.09086100316357477,0.06046077850813251,6040
0.735230502089776,3864.0,3771.0183486238534,3683.0,0.0,A2_H1_C0,cold,1.0,0.027522935779816515,0.1779816513761468,0.26238532110091745,0.10275229357798166,0.014599389589919931,0.013834709286473474,0.04205154683547002,0.05380443002446092,0.029872252093695643,545
0.8158826618735001,3864.0,3774.62220200182,3683.0,0.0,A2_H1_C0,warm,1.0,0.06496815286624204,0.28389444949954507,0.4007279344858963,0.1927206551410373,0.03514900696703069,0.03629567179449348,0.07824461047931865,0.09453631387527925,0.06349458140092015,5495
0.8743489026245029,3864.0,3774.29701986755,3683.0,1.0,A2_H0_C1,overall,0.0,0.06158940397350993,0.34139072847682117,0.4899006622516556,0.22433774834437087,0.029300812743970745,0.0292418779140716,0.08297657496096161,0.10375655254484789,0.06403753419137188,6040
0.9108560706223917,3864.0,3771.0183486238534,3683.0,1.0,A2_H0_C1,cold,0.0,0.10825688073394496,0.3559633027522936,0.5211009174311927,0.27155963302752295,0.054611862000952985,0.05905003848112775,0.10905459537944727,0.13220260688243082,0.09552791226349318,545
0.8707280825046031,3864.0,3774.62220200182,3683.0,1.0,A2_H0_C1,warm,0.0,0.05696087352138308,0.3399454049135578,0.48680618744313015,0.21965423111919927,0.026790435702104487,0.026285472543908627,0.08039012889579784,0.10093524233302208,0.06091428468285406,5495
0.77768419600317,3864.0,3774.29701986755,3683.0,0.0,A2_H0_C0,overall,0.0,0.034271523178807946,0.2099337748344371,0.3213576158940397,0.13245033112582782,0.017971414792326498,0.017133165943488574,0.05048069383914338,0.06600606783165194,0.03796897774546745,6040
0.7304392436775593,3864.0,3771.0183486238534,3683.0,0.0,A2_H0_C0,cold,0.0,0.03486238532110092,0.15412844036697249,0.25321100917431194,0.10091743119266056,0.020838069077313955,0.02116858494382124,0.043110294265545926,0.05690751439426171,0.034624835397720474,545
0.7823700011018884,3864.0,3774.62220200182,3683.0,0.0,A2_H0_C0,warm,0.0,0.03421292083712466,0.21546860782529573,0.3281164695177434,0.13557779799818018,0.01768709694240506,0.016732928754192623,0.051211697982475685,0.06690847213071978,0.038300653374133894,5495
