auc,candidate_count_max,candidate_count_mean,candidate_count_min,cold_base_norm_mean,cold_residual_base_ratio_mean,cold_residual_norm_mean,cold_residual_scale,experiment,hr@10,hr@100,hr@200,hr@50,mrr_corrected,ndcg@10,ndcg@100,ndcg@200,ndcg@50,sample_count
0.7608166150697464,3864.0,3771.0183486238534,3683.0,0.270474910736084,0.5834598541259766,0.17434807121753693,0.0,A3,0.01834862385321101,0.1963302752293578,0.28990825688073396,0.10642201834862386,0.01610835082780071,0.012511582664993623,0.045595992880634,0.05865455727220705,0.031059872365644125,545
0.7684063724968412,3864.0,3771.0183486238534,3683.0,0.270474910736084,0.5834598541259766,0.17434807121753693,0.25,A3,0.023853211009174313,0.1926605504587156,0.30275229357798167,0.11376146788990826,0.018135480569981852,0.015364302765313562,0.04690215143227169,0.0621968296966273,0.03410102848912183,545
0.7598470488948739,3864.0,3771.0183486238534,3683.0,0.270474910736084,0.5834598541259766,0.17434807121753693,0.5,A3,0.023853211009174313,0.1853211009174312,0.30642201834862387,0.11376146788990826,0.014025081476175727,0.012346521682945805,0.0424279061172424,0.0592582056276045,0.03089800871445742,545
0.740108672891735,3864.0,3771.0183486238534,3683.0,0.270474910736084,0.5834598541259766,0.17434807121753693,0.75,A3,0.023853211009174313,0.1706422018348624,0.28990825688073396,0.09357798165137615,0.012447464866146058,0.011666238279966636,0.03861846774524673,0.05518011355611402,0.026122903200437052,545
0.7114881782279854,3864.0,3771.0183486238534,3683.0,0.270474910736084,0.5834598541259766,0.17434807121753693,1.0,A3,0.022018348623853212,0.1596330275229358,0.26238532110091745,0.08990825688073395,0.010348290173572281,0.009837676034918951,0.0349427821240893,0.04933143072329443,0.02378271794179057,545
0.886022380869323,3864.0,3771.0183486238534,3683.0,0.2932990491390228,0.4363723695278168,0.1414201259613037,0.0,A4,0.06788990825688074,0.28990825688073396,0.45137614678899085,0.1981651376146789,0.030525491560750607,0.03237110668201401,0.07625724990571366,0.09879427908796194,0.0615508301115069,545
0.8661576764025819,3864.0,3771.0183486238534,3683.0,0.2932990491390228,0.4363723695278168,0.1414201259613037,0.25,A4,0.060550458715596334,0.25321100917431194,0.42568807339449544,0.1724770642201835,0.026249790388546395,0.02841303134517951,0.06598568428538433,0.08985705986128746,0.052955148123915684,545
0.8354818550818557,3864.0,3771.0183486238534,3683.0,0.2932990491390228,0.4363723695278168,0.1414201259613037,0.5,A4,0.04036697247706422,0.22935779816513763,0.3504587155963303,0.15412844036697249,0.022205786889363442,0.02091331505166545,0.058045499352453664,0.07471449974318368,0.04597444036419338,545
0.7964239818650648,3864.0,3771.0183486238534,3683.0,0.2932990491390228,0.4363723695278168,0.1414201259613037,0.75,A4,0.03302752293577982,0.1926605504587156,0.30642201834862387,0.13944954128440368,0.01973232519078964,0.018170375648583096,0.04950937238178929,0.06528796028963657,0.04090162141904061,545
0.752785663070892,3864.0,3771.0183486238534,3683.0,0.2932990491390228,0.4363723695278168,0.1414201259613037,1.0,A4,0.027522935779816515,0.1743119266055046,0.26605504587155965,0.12293577981651377,0.017623055973387283,0.015962422143022008,0.04423033397225483,0.056937365078377995,0.035988115956734845,545
