auc,candidate_count_max,candidate_count_mean,candidate_count_min,candidate_group,experiment,hr@10,hr@100,hr@200,hr@50,mrr_corrected,ndcg@10,ndcg@100,ndcg@200,ndcg@50,sample_count
0.674347192451674,3864.0,3771.0183486238534,3683.0,cold_vs_all,A0,0.03669724770642202,0.1853211009174312,0.25871559633027524,0.11926605504587157,0.01983580412772228,0.01997292798582092,0.04794445171797186,0.05823655588776493,0.037460996281172054,545
0.6730683564603619,3498.0,3411.2,3324.0,cold_vs_warm,A0,0.04036697247706422,0.1944954128440367,0.27522935779816515,0.12293577981651377,0.021133508133247523,0.021701083794907556,0.05072189926916504,0.0619916374430276,0.03923983538591802,545
0.6864684371012818,371.0,360.8183486238532,339.0,cold_vs_cold,A0,0.1871559633027523,0.5614678899082569,0.7688073394495413,0.42568807339449544,0.08890454246365127,0.10030098946859618,0.17470227255710788,0.20377104069193108,0.1528288454238115,545
0.8677964718243397,3864.0,3771.0183486238534,3683.0,cold_vs_all,A2,0.05688073394495413,0.23669724770642203,0.4018348623853211,0.1688073394495413,0.027261208952966,0.028621097274304137,0.06382616903275017,0.0867186010806338,0.052748273314311214,545
0.882537839254108,3498.0,3411.2,3324.0,cold_vs_warm,A2,0.06972477064220184,0.29724770642201837,0.46972477064220186,0.2,0.04457840217307662,0.04392045510738293,0.08766951402893923,0.11170484283147872,0.07216132914618413,545
0.7280776932835579,371.0,360.8183486238532,339.0,cold_vs_cold,A2,0.1651376146788991,0.5963302752293578,0.8201834862385321,0.42935779816513764,0.0718386567071159,0.0816937496171588,0.1659685502967182,0.19738132751442375,0.1389239920111623,545
0.7114881782279854,3864.0,3771.0183486238534,3683.0,cold_vs_all,A3,0.022018348623853212,0.1596330275229358,0.26238532110091745,0.08990825688073395,0.010348290173572281,0.009837676034918951,0.0349427821240893,0.04933143072329443,0.02378271794179057,545
0.7114836768144657,3498.0,3411.2,3324.0,cold_vs_warm,A3,0.022018348623853212,0.1724770642201835,0.28440366972477066,0.09541284403669725,0.010957875677181646,0.009944572653569309,0.03756162985734138,0.05320871797893101,0.02520945067908051,545
0.7115344604528552,371.0,360.8183486238532,339.0,cold_vs_cold,A3,0.1651376146788991,0.5706422018348624,0.8055045871559633,0.43486238532110094,0.07387723063740781,0.08295410095174599,0.16388876507169467,0.19652837915205096,0.14177790403678062,545
0.752785663070892,3864.0,3771.0183486238534,3683.0,cold_vs_all,A4,0.027522935779816515,0.1743119266055046,0.26605504587155965,0.12293577981651377,0.017623055973387283,0.015962422143022008,0.04423033397225483,0.056937365078377995,0.035988115956734845,545
0.7554436478285341,3498.0,3411.2,3324.0,cold_vs_warm,A4,0.03669724770642202,0.181651376146789,0.28256880733944956,0.12844036697247707,0.019837869005884086,0.01985869665255353,0.04747442263322898,0.06152307220361946,0.038905129708023456,545
0.7275858217858872,371.0,360.8183486238532,339.0,cold_vs_cold,A4,0.2,0.6293577981651376,0.7944954128440367,0.46422018348623856,0.08481036195896287,0.09957818958942803,0.18373672864833343,0.2067436727773977,0.15705359375412287,545
