2026/08/05 14:54:33.238, 0, 0, 24564, 24.49, 38
2026/08/05 14:54:43.244, 0, 0, 24564, 21.67, 36
2026/08/05 14:54:53.244, 0, 3, 24564, 21.90, 35
2026/08/05 14:55:03.245, 0, 13725, 24564, 99.29, 37
2026/08/05 14:55:13.245, 92, 13725, 24564, 272.01, 43
2026/08/05 14:55:23.246, 50, 13725, 24564, 106.94, 40
2026/08/05 14:55:33.247, 91, 16685, 24564, 290.83, 48
2026/08/05 14:55:43.248, 25, 16685, 24564, 109.36, 43
2026/08/05 14:55:53.249, 0, 16685, 24564, 146.14, 49
2026/08/05 14:56:03.250, 89, 16685, 24564, 291.30, 51
2026/08/05 14:56:13.251, 90, 16685, 24564, 196.34, 43
2026/08/05 14:56:23.252, 2, 16685, 24564, 109.91, 44
2026/08/05 14:56:33.253, 0, 16685, 24564, 79.87, 43
2026/08/05 14:56:43.254, 85, 16685, 24564, 201.87, 50
2026/08/05 14:56:53.255, 90, 19697, 24564, 292.57, 50
2026/08/05 14:57:03.256, 47, 19697, 24564, 182.93, 44
2026/08/05 14:57:13.257, 4, 19697, 24564, 99.92, 43
2026/08/05 14:57:23.258, 90, 19697, 24564, 289.72, 51
2026/08/05 14:57:33.259, 11, 19697, 24564, 110.60, 45
2026/08/05 14:57:43.260, 90, 19697, 24564, 252.47, 53
2026/08/05 14:57:53.261, 0, 19697, 24564, 103.74, 44
2026/08/05 14:58:03.262, 0, 19697, 24564, 143.48, 49
2026/08/05 14:58:13.263, 88, 19697, 24564, 209.88, 45
2026/08/05 14:58:23.264, 0, 19697, 24564, 89.44, 44
2026/08/05 14:58:33.265, 91, 19697, 24564, 290.86, 52
2026/08/05 14:58:43.265, 28, 19697, 24564, 109.78, 44
2026/08/05 14:58:53.266, 91, 19697, 24564, 293.08, 53
2026/08/05 14:59:03.267, 42, 19697, 24564, 110.67, 44
2026/08/05 14:59:13.268, 89, 19697, 24564, 290.44, 52
2026/08/05 14:59:23.269, 0, 19697, 24564, 102.76, 46
2026/08/05 14:59:33.270, 67, 19697, 24564, 183.51, 51
2026/08/05 14:59:43.271, 0, 19697, 24564, 151.19, 45
2026/08/05 14:59:53.272, 0, 19697, 24564, 110.30, 48
2026/08/05 15:00:03.273, 85, 19697, 24564, 214.96, 45
2026/08/05 15:00:13.276, 11, 19697, 24564, 103.85, 44
2026/08/05 15:00:23.282, 90, 19697, 24564, 290.91, 52
2026/08/05 15:00:33.288, 0, 19697, 24564, 84.51, 46
2026/08/05 15:00:43.293, 90, 19697, 24564, 200.49, 52
2026/08/05 15:00:53.299, 0, 19697, 24564, 126.96, 47
2026/08/05 15:01:03.304, 0, 19697, 24564, 151.84, 50
2026/08/05 15:01:13.306, 90, 19697, 24564, 201.15, 45
2026/08/05 15:01:23.307, 0, 19697, 24564, 99.51, 44
2026/08/05 15:01:33.308, 90, 19697, 24564, 292.09, 48
2026/08/05 15:01:43.309, 15, 19697, 24564, 110.70, 44
2026/08/05 15:01:53.309, 90, 19697, 24564, 273.98, 51
2026/08/05 15:02:03.310, 0, 19697, 24564, 86.16, 45
2026/08/05 15:02:13.311, 0, 19697, 24564, 163.83, 51
2026/08/05 15:02:23.312, 88, 19697, 24564, 238.54, 45
2026/08/05 15:02:33.313, 40, 19697, 24564, 109.09, 44
2026/08/05 15:02:43.314, 93, 19697, 24564, 287.21, 51
2026/08/05 15:02:53.315, 73, 19697, 24564, 187.80, 44
2026/08/05 15:03:03.316, 17, 19697, 24564, 87.68, 45
2026/08/05 15:03:13.317, 0, 19697, 24564, 113.00, 49
2026/08/05 15:03:23.318, 15, 19697, 24564, 189.93, 51
2026/08/05 15:03:33.319, 92, 19697, 24564, 250.09, 45
2026/08/05 15:03:43.320, 0, 19697, 24564, 78.35, 44
